Brand_Id,P_Id,Name,Price,Colour,Brand_Name,Ratingcount,Avg_Rating,Description,Occasion,Pattern,Print or Pattern Type,Fabric,Wash Care,Sustainable,Body or Garment Size,Closure,Length,Number of Pockets
287.0,18684954,Fashion Basket Black & Pink Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Black,Fashion Basket,0,0.0,black pink solid lehenga choli dupatta black pink solid unstitched blouse short sleeves black pink printed semi stitched lehenga zip closure flared hem black pink printed dupatta tassels borderlehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr,Casual,Striped,NA,Polyester,Machine Wash,Regular,Garment Measurements in,Concealed Zip,NA,NA
287.0,18684958,Fashion Basket Grey & Red Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Grey,Fashion Basket,0,0.0,grey red solid lehenga choli dupatta grey red solid unstitched blouse three quarter sleeves grey red printed semi stitched lehenga zip closure flared hem grey red printed dupatta printed borderlehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr,Casual,Checked,Checked,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Mini,NA
287.0,18704338,Fashion Basket Beige & Blue Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Beige,Fashion Basket,0,0.0,beige blue solid lehenga choli dupatta beige blue solid unstitched blouse three quarter sleeves beige blue printed semi stitched lehenga zip closure flared hem beige blue printed dupatta tassels borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr lehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand wash,Casual,Colourblocked,Colourblocked,Acrylic,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
287.0,18684942,Fashion Basket Beige & Blue Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Beige,Fashion Basket,0,0.0,beige blue solid lehenga choli dupatta beige blue solid unstitched blouse three quarter sleeves beige blue printed semi stitched lehenga zip closure flared hem beige blue printed dupatta printed borderlehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr,Casual,Solid,Solid,Nylon,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
287.0,18684956,Fashion Basket Yellow & Purple Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Yellow,Fashion Basket,0,0.0,yellow purple solid lehenga choli dupatta yellow purple solid unstitched blouse three quarter sleeves yellow purple printed semi stitched lehenga zip closure flared hem yellow purple printed dupatta solid borderlehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr,Casual,Printed,Floral,Cotton,Machine Wash,Regular,Garment Measurements in,NA,Crop,NA
287.0,18684946,Fashion Basket Grey & Pink Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Grey,Fashion Basket,0,0.0,grey pink solid lehenga choli dupatta grey pink solid unstitched blouse short sleeves grey pink printed semi stitched lehenga zip closure flared hem grey pink printed dupatta solid borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr lehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand wash,Casual,Printed,Typography,Cotton,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
287.0,18685528,Fashion Basket Orange & Black Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Orange,Fashion Basket,0,0.0,orange black solid lehenga choli dupatta orange black solid unstitched blouse short sleeves orange black printed semi stitched lehenga zip closure flared hem orange black printed dupatta solid borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr lehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand wash,Casual,Printed,Conversational,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Drawstring,Regular,2
287.0,18704014,Fashion Basket Beige & Blue Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Beige,Fashion Basket,0,0.0,beige blue solid lehenga choli dupatta beige blue solid unstitched blouse short sleeves beige blue printed semi stitched lehenga zip closure flared hem beige blue printed dupatta taping borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr lehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand wash,Casual,NA,NA,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button Fly,Cropped,4
287.0,18685546,Fashion Basket Yellow & Red Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Yellow,Fashion Basket,0,0.0,yellow red solid lehenga choli dupatta yellow red solid unstitched blouse short sleeves yellow red printed semi stitched lehenga zip closure flared hem yellow red printed dupatta solid borderlehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button,Above Knee,2
287.0,18324286,Fashion Basket Red & Black Embroidered Thread Work Semi-Stitched Lehenga & Blouse With Dupatta,4999.0,Red,Fashion Basket,0,0.0,red black embroidered lehenga choli dupatta thread work red black embroidered semi stitched blouse round neck short sleeves red black embroidered semi stitched lehenga flared hem red black solid dupatta taping borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr fit regularlehenga fabric taffeta silk blouse fabric tafeta silk duptta fabric net inner fabric crepe wash care dry clean first wash hand wash,Casual,Printed,Typography,Cotton,Machine Wash,Regular,Garment Measurements in,NA,Crop,NA
287.0,18596594,Fashion Basket Orange & Red Floral Printed Saree,1299.0,Orange,Fashion Basket,12,3.1,design details orange amp red saree floral printed saree printed border model wearing stitched version blouse piece saree comes unstitched blouse piecesari length mtr blouse length mtr fit regularsari fabric lichi silk blouse fabric lichi silk dry clean first wash hand wash,Casual,Printed,NA,Cotton,Machine Wash,Regular,NA,NA,NA,2
287.0,18324272,Fashion Basket Blue & Pink Printed Semi-Stitched Lehenga & Blouse With Dupatta,3699.0,Blue,Fashion Basket,0,0.0,blue pink printed lehenga choli dupatta blue pink printed semi stitched blouse round neck three quarter sleeves blue pink printed semi stitched lehenga flared hem blue pink printed dupatta taping borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr fit regularlehenga fabric organza blouse fabric organza satin duptta fabric organza inner fabric satin wash care dry clean first wash hand wash,Casual,Embellished,Embellished,Polyester,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Zip,Knee Length,NA
287.0,18324268,Fashion Basket Blue & Orange Printed Semi-Stitched Lehenga & Blouse With Dupatta,3699.0,Blue,Fashion Basket,0,0.0,blue orange printed lehenga choli dupatta blue orange printed semi stitched blouse round neck short sleeves blue orange printed semi stitched lehenga drawstring closure flared hem blue orange printed dupatta printed borderlehenga flare cm lehenga length inch lehenga waist size inch blouse length cm duptta length cm fit regularlehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric crepe wash care dry clean first wash hand wash,Casual,Self Design,Self Design,Polyester,Machine Wash,Regular,Garment Measurements in,NA,Crop,NA
287.0,18754122,Fashion Basket Red Printed Lycra Saree,1999.0,Red,Fashion Basket,0,0.0,design details red saree abstract printed saree woven design border saree comes unstitched blouse piece blouse worn model might modelling purpose check image blouse piece understand actual blouse piece looks like length metres plus metre blouse piece width metres approx sari fabric lycra blouse fabric banglory hand wash,Casual,NA,NA,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button and Zip,Cropped,5
287.0,18754106,Fashion Basket Green & Cream-Coloured Floral Lycra Saree,1999.0,Green,Fashion Basket,0,0.0,design details green cream coloured saree floral printed saree printed border saree comes unstitched blouse piece blouse worn model might modelling purpose check image blouse piece understand actual blouse piece looks like sari fabric lycra blouse fabric banglory hand washlength metres plus metre blouse piece width metres approx,Casual,Striped,Striped,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Slip-On,Above Knee,2
1014.0,14906974,Zink London Women Mustard Shrug,2499.0,Mustard,Zink London,23,4.0,mustard self design open front regular shrug long sleeves straight hemthe model height wearing size sacrylicmachine wash,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button,Above Knee,2
1014.0,14906978,Zink London Women Black Solid Tie-Up Shrug,2499.0,Black,Zink London,7,4.0,black solid open front regular shrug long sleeves straight hemacrylic machine washthe model height wearing size,Casual,Solid,Solid,PU,Machine Wash,Regular,Garment Measurements in,Zip,Crop,2
1014.0,18310368,Zink London Women A-line Pink Skirts,1999.0,Pink,Zink London,0,0.0,pink solid line knee length skirt elasticated waistband zip closure flared hem viscose machine washsize,Casual,Solid,Solid,Cotton Blend,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
1014.0,14070682,Zink London Women Blue Solid Open Front Jacket,2299.0,Blue,Zink London,11,4.7,blue solid jacket shawl collar three quarter sleeves straight hem polyester liningmaterial polyester machine washthe model height wearing size,Casual,Self Design,Typography,Cotton,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
1014.0,15235432,Zink London Women Blue Solid Longline Shrug,2299.0,Blue,Zink London,0,0.0,blue solid open front regular shrug long sleeves straight hemthe model height wearing size sacrylic machine wash,Casual,Printed,Floral,Cotton,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
1014.0,18283638,Zink London Green & Red Printed Playsuit,2199.0,Green,Zink London,0,0.0,green red printed playsuit round neck short sleeves polyester machine washthe model height wearing size,Casual,Printed,Floral,Cotton,Machine Wash,Regular,Garment Measurements in,NA,Regular,NA
