P_Id,Pattern
17724428,Printed
16596854,Printed
13932904,Printed
11530828,Printed
9252969,Printed
13248456,Solid
10426518,Solid
11530792,Solid
17351596,Solid
18830182,Solid
18892954,Solid
18892952,Solid
19199132,NA
18969038,NA
18980704,Checked
18980716,Solid
19199134,Printed
18738138,Solid
19215762,Solid
18811270,Solid
19215768,NA
18656010,NA
19215760,NA
19215764,NA
18967476,NA
18342336,Checked
18810892,Solid
18967478,Printed
18147408,Solid
18656002,Solid
18900682,Solid
18342328,Solid
18811274,Solid
19082572,Solid
18810908,Solid
19082682,Solid
19214924,Solid
18810056,Solid
18810116,Printed
18810076,NA
18810050,Solid
18810556,Solid
18810072,Solid
19269384,Solid
19361064,Printed
19082588,Solid
18731872,Solid
18458298,Striped
18810910,Solid
18810524,Solid
19082630,Solid
18995062,Solid
18656006,Solid
18458316,Printed
17928420,Solid
18458288,Solid
18810532,Solid
18810520,Solid
17929588,NA
18458340,NA
17914672,Printed
18649158,Solid
19269442,Solid
18731862,Solid
19214642,Colourblocked
17914638,Checked
18805450,Printed
19361356,Printed
18342330,Checked
19269426,Printed
19269424,Solid
18458276,Printed
17928430,Printed
19214718,Solid
18382962,Solid
18458296,Printed
19214734,Printed
18731786,Solid
18458416,Solid
17929568,Solid
17929592,Printed
18900790,Solid
18805472,Solid
18805432,Solid
19269376,Printed
19269372,Solid
18805426,Solid
18731746,Solid
19269316,Ribbed
19269412,Solid
19082634,Solid
18731784,Solid
18731836,Printed
18805460,Printed
18731796,Colourblocked
17928390,Solid
18731848,Self Design
18147444,Solid
18805384,Solid
19361076,Printed
19361060,Solid
19214624,Solid
18328464,Solid
17914640,Solid
19361072,Solid
19361058,Solid
19266872,Solid
19147754,Solid
16849312,Printed
12696136,Printed
17124538,Checked
18131688,Solid
17674588,Solid
17842452,Solid
16849304,Solid
18652076,Striped
19148244,Solid
15198584,Printed
18522646,Printed
18747028,Solid
18376730,Solid
19216788,Solid
17155520,Solid
18747034,Printed
17611544,Solid
18208004,Printed
16160338,Solid
17124306,Solid
18084676,Printed
18084562,Checked
17186006,Solid
19176850,Solid
15424186,Printed
19049088,Solid
19257984,Solid
19175092,Solid
16893050,Solid
18254862,Striped
15630060,Solid
17883622,Solid
19176864,Solid
